stt,old_slug,old_project,new_slug,new_project,new_brand,category,logo_direction,primary_colors,status
1,website-song-quan-ads,Website Song Quân Ads,website-pixelnova-media,Website PixelNova Media,PixelNova Media,Truyền thông,"Biểu tượng P góc cạnh kết hợp tia sáng kỹ thuật số","#163A7D / #3BC6F3",HOAN_THANH_VA_DA_TICH_HOP
2,website-tra-nuage-sauvage,Website Trà Nuage Sauvage,website-mocvan-tea,Website Mocvan Tea,Mocvan Tea,Bán lẻ,"Lá trà kết hợp đường mây tối giản","#526B55 / #F1E9D6",HOAN_THANH_VA_DA_TICH_HOP
3,peace-viet-nam,Peace Việt Nam,aeromint-cleanroom,Aeromint Cleanroom,Aeromint,Sản xuất,"Lục giác kết hợp luồng khí sạch","#0F5C78 / #64D4C8",HOAN_THANH_VA_DA_TICH_HOP
4,app-vietplus,App VietPlus,app-nivora-connect,App Nivora Connect,Nivora Connect,Du lịch,"Hai mắt xích tạo chữ N trong app icon bo tròn","#102B5F / #35BCEB",HOAN_THANH_VA_DA_TICH_HOP
5,lovers-lawn-app,App Lover’s Lawn,app-grevia-lawn,App Grevia Lawn,Grevia Lawn,Dịch vụ,"Nhánh lá ôm đường cong khu vườn","#234F38 / #C9E7B8",HOAN_THANH_VA_DA_TICH_HOP
6,website-hang-kenh,Website HANG KENH,website-loomora-rugs,Website Loomora Rugs,Loomora Rugs,Bán lẻ,"Chữ L tạo bởi các sợi dệt đan chéo","#5D2437 / #C8A66A",HOAN_THANH_VA_DA_TICH_HOP
7,website-paint-and-more,Website Paint and More,website-chromiva-coatings,Website Chromiva Coatings,Chromiva Coatings,Bán lẻ,"Giọt sơn kết hợp dải màu hình học","#EA6B35 / #2353A5",HOAN_THANH_VA_DA_TICH_HOP
8,website-kim-cuong-xanh,Website Kim Cương Xanh,website-verdora-property,Website Verdora Property,Verdora Property,Bất động sản,"Khối nhà trừu tượng nằm trong viên kim cương","#176B53 / #263238",HOAN_THANH_VA_DA_TICH_HOP
9,website-candygogo-factory,Website Candygogo Factory,website-candella-works,Website Candella Works,Candella Works,Sản xuất,"Chữ C tròn kết hợp tia lấp lánh","#E9508C / #6B4DD6",HOAN_THANH_VA_DA_TICH_HOP
10,bao-bi-tan-phong,Bao Bì Tấn Phong,website-flexora-packaging,Website Flexora Packaging,Flexora Packaging,Sản xuất,"Dải film gấp tạo chữ F","#F08A24 / #183A61",HOAN_THANH_VA_DA_TICH_HOP
